(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Your license has expired] by [Your license has expired] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Your license has an incompatible version number] by [Your license has an incompatible version number] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Your license does not allow running this module] by [Your license does not allow running this module] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [SW command failed] by [SW command failed] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Request received with no data available] by [Request received with no data available] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Size exceeds foreseen array/table limit] by [Size exceeds foreseen array/table limit] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error programming serial: function SetupComm] by [Error programming serial: function SetupComm] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error programming serial: function SetCommTimeouts] by [Error programming serial: function SetCommTimeouts] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error during service initiation{0}] by [Error during service initiation{0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error creating a handle] by [Error creating a handle] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error communicating with production] by [Error communicating with production] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Invalid signature {0}] by [Invalid signature {0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [File IO Error] by [File IO Error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [No Way Station available] by [No Way Station available] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Invalid parameter received in a JS method call] by [Invalid parameter received in a JS method call] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [File not found: {0}] by [File not found: {0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#DEB(npParseAll.c@205):	[npcfLoadPropertyFile] Property File loaded: [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-errors61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-errors61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [You cannot close a register that is already closed] by [You cannot close a register that is already closed] in file [C:\NewPOS61Train\PosData\i18n\pos-messages61.properties]
