(5612)0119 095154.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources61.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources61_en.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources61_enUK.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources61_enUK.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.8#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources_enUK.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.8#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources_enUK.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.8#WAR(npreRdTb.c@1733):	genXCreateTable:Error parsing xml rc:0x50e00 (line: 0)
(5476)0119 095157.3#WAR(npreControlProcess.c@490):	[npreCP_Initialize] build:6_1_17B191 $RCSfile: npreControlProcess.c,v $$Revision: 1.3.8.2 $ Jun 17 2011 09:13:09
(3708)0119 095200.6#WAR(npreOSItf.h@902):	[npreOSItf] npreDeleteFile, DeleteFile file name = [c:\NewPOS61Train\OutPutFiles002\\POS0002_TLOG_ERASE.CTL] error = 2: The system cannot find the file specified.
(3708)0119 095200.6#WAR(npreOSItf.h@902):	[npreOSItf] npreDeleteFile, DeleteFile file name = [c:\NewPOS61Train\OutPutFiles002\\POS0002_TLOG_RECOVERED_FROMWAY.REC] error = 2: The system cannot find the file specified.
(3708)0119 095200.6#WAR(npAdpUI.c@185):	[npAdpUI.dll] build:6_1_17B191 $RCSfile: npAdpUI.c,v $$Revision: 1.64.2.3 $ Jun 17 2011 09:16:26
(3708)0119 095200.7#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npGUIWSSC_SetSIData] error = 127: The specified procedure could not be found.
(3708)0119 095200.7#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npGUI_SetChannel] error = 127: The specified procedure could not be found.
